Peril,Garage Size,Attached,Basement,Built-In,Carport,Detached,None
Other Perils,1 Car,1.0,1.1532,1.0,1.1532,1.1532,1.1532
Other Perils,1.5 Car,1.0,1.1532,1.0,1.1532,1.1532,1.1532
Other Perils,2 Car,1.0,1.1532,1.0,1.1532,1.1532,1.1532
Other Perils,2.5 Car,1.0,1.1532,1.0,1.1532,1.1532,1.1532
Other Perils,3+ Car,1.0,1.1532,1.0,1.1532,1.1532,1.1532
Fire,1 Car,1.0,1.0,1.0,1.0,1.0,1.0
Fire,1.5 Car,1.0,1.0,1.0,1.0,1.0,1.0
Fire,2 Car,1.0,1.0,1.0,1.0,1.0,1.0
Fire,2.5 Car,1.0,1.0,1.0,1.0,1.0,1.0
Fire,3+ Car,1.0,1.0,1.0,1.0,1.0,1.0
Other Wind and Hail,1 Car,1.0,1.1288,1.0,1.1288,1.1288,1.1288
Other Wind and Hail,1.5 Car,1.0,1.1288,1.0,1.1288,1.1288,1.1288
Other Wind and Hail,2 Car,1.1288,1.1288,1.1288,1.1288,1.1288,1.1288
Other Wind and Hail,2.5 Car,1.1288,1.1288,1.1288,1.1288,1.1288,1.1288
Other Wind and Hail,3+ Car,1.3677,1.1288,1.3677,1.1288,1.1288,1.1288
Theft,1 Car,1.0,1.0,1.0,1.0,1.0,1.0
Theft,1.5 Car,1.0,1.0,1.0,1.0,1.0,1.0
Theft,2 Car,1.0,1.0,1.0,1.0,1.0,1.0
Theft,2.5 Car,1.0,1.0,1.0,1.0,1.0,1.0
Theft,3+ Car,1.0988,1.0988,1.0988,1.0,1.0,1.0
Water,1 Car,1.0,1.0,1.0,1.0,1.0,1.0
Water,1.5 Car,1.0,1.0,1.0,1.0,1.0,1.0
Water,2 Car,1.0,1.0,1.0,1.0,1.0,1.0
Water,2.5 Car,1.0,1.0,1.0,1.0,1.0,1.0
Water,3+ Car,1.0,1.0,1.0,1.0,1.0,1.0
Liability,1 Car,1.0,1.0,1.0,1.0,1.0,1.0
Liability,1.5 Car,1.0,1.0,1.0,1.0,1.0,1.0
Liability,2 Car,1.0,1.0,1.0,1.0,1.0,1.0
Liability,2.5 Car,1.0,1.0,1.0,1.0,1.0,1.0
Liability,3+ Car,1.0,1.0,1.0,1.0,1.0,1.0
Hurricane,1 Car,1.0,0.9629,0.9629,0.9787,0.9629,0.9629
Hurricane,1.5 Car,1.0,0.9629,0.9629,0.9787,0.9629,0.9629
Hurricane,2 Car,1.0,0.9629,0.9629,0.9787,0.9629,0.9629
Hurricane,2.5 Car,1.0,0.9629,0.9629,0.9787,0.9629,0.9629
Hurricane,3+ Car,1.0,0.9629,0.9629,0.9787,0.9629,0.9629
Severe Thunderstorm,1 Car,1.0,1.0,1.0,1.0,1.0,1.0
Severe Thunderstorm,1.5 Car,1.0,1.0,1.0,1.0,1.0,1.0
Severe Thunderstorm,2 Car,1.0,1.0,1.0,1.0,1.0,1.0
Severe Thunderstorm,2.5 Car,1.0,1.0,1.0,1.0,1.0,1.0
Severe Thunderstorm,3+ Car,1.0,1.0,1.0,1.0,1.0,1.0
Winter Storm,1 Car,1.0,1.0,1.0,1.0,1.0,1.0
Winter Storm,1.5 Car,1.0,1.0,1.0,1.0,1.0,1.0
Winter Storm,2 Car,1.0,1.0,1.0,1.0,1.0,1.0
Winter Storm,2.5 Car,1.0,1.0,1.0,1.0,1.0,1.0
Winter Storm,3+ Car,1.0,1.0,1.0,1.0,1.0,1.0
Earthquake,1 Car,1.0,1.0,1.0,1.0,1.0,1.0
Earthquake,1.5 Car,1.0,1.0,1.0,1.0,1.0,1.0
Earthquake,2 Car,1.0,1.0,1.0,1.0,1.0,1.0
Earthquake,2.5 Car,1.0,1.0,1.0,1.0,1.0,1.0
Earthquake,3+ Car,1.0,1.0,1.0,1.0,1.0,1.0
