Term,Number of Days,Other Perils,Fire,Other Wind and Hail,Theft,Water,Liability,Hurricane,Severe Thunderstorm,Winter Storm,Earthquake
0,0,1,1,1,1,1,1,1,1,1,1
0,1 to 6,1,1,1,1,1,1,1,1,1,1
0,7+,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
1,0,1,1,1,1,1,1,1,1,1,1
1,1 to 6,1,1,1,1,1,1,1,1,1,1
1,7+,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
2,0,1,1,1,1,1,1,1,1,1,1
2,1 to 6,1,1,1,1,1,1,1,1,1,1
2,7+,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
3,0,1,1,1,1,1,1,1,1,1,1
3,1 to 6,1,1,1,1,1,1,1,1,1,1
3,7+,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94
4,0,1,1,1,1,1,1,1,1,1,1
4,1 to 6,1,1,1,1,1,1,1,1,1,1
4,7+,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97
5+,0,1,1,1,1,1,1,1,1,1,1
5+,1 to 6,1,1,1,1,1,1,1,1,1,1
5+,7+,1,1,1,1,1,1,1,1,1,1
