Construction Type,Protection Class,Other Perils,Fire,Other Wind and Hail,Theft,Water,Liability,Hurricane,Severe Thunderstorm,Winter Storm,Earthquake
Frame,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frame,2,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frame,3,1.0,1.0201,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frame,4,1.0,1.0303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frame,5,1.0,1.0406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frame,6,1.0,1.051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frame,7,1.0,1.2486,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frame,8,1.0,1.3522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frame,9,1.0,1.6646,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frame,10,1.0,2.0808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Masonry,1,1.0,1.0,1.0,1.0,1.0742,0.8304,0.7964,1.0,0.8591,2.5
Masonry,2,1.0,1.012,1.0,1.0,1.0742,0.8304,0.7964,1.0,0.8591,2.5
Masonry,3,1.0,1.0241,1.0,1.0,1.0742,0.8304,0.7964,1.0,0.8591,2.5
Masonry,4,1.0,1.0364,1.0,1.0,1.0742,0.8304,0.7964,1.0,0.8591,2.5
Masonry,5,1.0,1.0488,1.0,1.0,1.0742,0.8304,0.7964,1.0,0.8591,2.5
Masonry,6,1.0,1.0603,1.0,1.0,1.0742,0.8304,0.7964,1.0,0.8591,2.5
Masonry,7,1.0,1.072,1.0,1.0,1.0742,0.8304,0.7964,1.0,0.8591,2.5
Masonry,8,1.0,1.0838,1.0,1.0,1.0742,0.8304,0.7964,1.0,0.8591,2.5
Masonry,9,1.0,1.6864,1.0,1.0,1.0742,0.8304,0.7964,1.0,0.8591,2.5
Masonry,10,1.0,1.8061,1.0,1.0,1.0742,0.8304,0.7964,1.0,0.8591,2.5
Masonry Veneer,1,1.0,1.0,1.0,1.0,1.0,0.8304,0.9498,1.0,0.9378,1.72
Masonry Veneer,2,1.0,1.012,1.0,1.0,1.0,0.8304,0.9498,1.0,0.9378,1.72
Masonry Veneer,3,1.0,1.0241,1.0,1.0,1.0,0.8304,0.9498,1.0,0.9378,1.72
Masonry Veneer,4,1.0,1.0364,1.0,1.0,1.0,0.8304,0.9498,1.0,0.9378,1.72
Masonry Veneer,5,1.0,1.0488,1.0,1.0,1.0,0.8304,0.9498,1.0,0.9378,1.72
Masonry Veneer,6,1.0,1.0603,1.0,1.0,1.0,0.8304,0.9498,1.0,0.9378,1.72
Masonry Veneer,7,1.0,1.072,1.0,1.0,1.0,0.8304,0.9498,1.0,0.9378,1.72
Masonry Veneer,8,1.0,1.0838,1.0,1.0,1.0,0.8304,0.9498,1.0,0.9378,1.72
Masonry Veneer,9,1.0,1.6864,1.0,1.0,1.0,0.8304,0.9498,1.0,0.9378,1.72
Masonry Veneer,10,1.0,1.8061,1.0,1.0,1.0,0.8304,0.9498,1.0,0.9378,1.72
