Tier,Other Perils,Fire,Other Wind and Hail,Theft,Water,Liability,Hurricane,Severe Thunderstorm,Winter Storm,Earthquake,Other Optional Coverages
5.0,0.2969,0.1491,0.5103,0.2288,0.3052,0.2261,1.0,0.6629,1.0,1.0,0.2969
6.0,0.3081,0.1579,0.5208,0.2393,0.3163,0.2365,1.0,0.6712,1.0,1.0,0.3081
7.0,0.3196,0.1673,0.5315,0.2502,0.3279,0.2474,1.0,0.6796,1.0,1.0,0.3196
8.0,0.3316,0.1772,0.5424,0.2616,0.3399,0.2588,1.0,0.6881,1.0,1.0,0.3316
9.0,0.344,0.1878,0.5536,0.2736,0.3524,0.2707,1.0,0.6968,1.0,1.0,0.344
10.0,0.3569,0.1989,0.565,0.2861,0.3653,0.2832,1.0,0.7055,1.0,1.0,0.3569
11.0,0.3703,0.2107,0.5767,0.2992,0.3787,0.2962,1.0,0.7143,1.0,1.0,0.3703
12.0,0.3842,0.2232,0.5885,0.3128,0.3925,0.3099,1.0,0.7233,1.0,1.0,0.3842
13.0,0.3986,0.2365,0.6007,0.3271,0.4069,0.3242,1.0,0.7324,1.0,1.0,0.3986
14.0,0.4135,0.2505,0.613,0.3421,0.4218,0.3391,1.0,0.7415,1.0,1.0,0.4135
15.0,0.429,0.2654,0.6257,0.3577,0.4372,0.3548,1.0,0.7508,1.0,1.0,0.429
16.0,0.4451,0.2811,0.6385,0.3741,0.4533,0.3711,1.0,0.7603,1.0,1.0,0.4451
17.0,0.4618,0.2978,0.6517,0.3912,0.4699,0.3882,1.0,0.7698,1.0,1.0,0.4618
18.0,0.4791,0.3155,0.6651,0.4091,0.4871,0.4061,1.0,0.7794,1.0,1.0,0.4791
19.0,0.497,0.3343,0.6788,0.4278,0.5049,0.4248,1.0,0.7892,1.0,1.0,0.497
20.0,0.5156,0.3541,0.6928,0.4473,0.5234,0.4444,1.0,0.7991,1.0,1.0,0.5156
21.0,0.535,0.3751,0.7071,0.4678,0.5426,0.4649,1.0,0.8091,1.0,1.0,0.535
22.0,0.555,0.3974,0.7216,0.4891,0.5624,0.4863,1.0,0.8193,1.0,1.0,0.555
23.0,0.5758,0.421,0.7365,0.5115,0.583,0.5087,1.0,0.8295,1.0,1.0,0.5758
24.0,0.5974,0.446,0.7517,0.5349,0.6044,0.5322,1.0,0.8399,1.0,1.0,0.5974
25.0,0.6198,0.4725,0.7672,0.5593,0.6265,0.5567,1.0,0.8505,1.0,1.0,0.6198
26.0,0.643,0.5005,0.783,0.5849,0.6495,0.5823,1.0,0.8611,1.0,1.0,0.643
27.0,0.6671,0.5302,0.7991,0.6116,0.6732,0.6092,1.0,0.8719,1.0,1.0,0.6671
28.0,0.6921,0.5617,0.8156,0.6396,0.6979,0.6373,1.0,0.8829,1.0,1.0,0.6921
29.0,0.7181,0.5951,0.8324,0.6688,0.7235,0.6666,1.0,0.8939,1.0,1.0,0.7181
30.0,0.745,0.6304,0.8495,0.6994,0.75,0.6974,1.0,0.9051,1.0,1.0,0.745
31.0,0.7729,0.6678,0.867,0.7314,0.7774,0.7295,1.0,0.9165,1.0,1.0,0.7729
32.0,0.8019,0.7075,0.8849,0.7648,0.8059,0.7631,1.0,0.928,1.0,1.0,0.8019
33.0,0.832,0.7495,0.9031,0.7997,0.8354,0.7983,1.0,0.9396,1.0,1.0,0.832
34.0,0.8631,0.794,0.9217,0.8363,0.866,0.8351,1.0,0.9514,1.0,1.0,0.8631
35.0,0.8955,0.8411,0.9407,0.8745,0.8977,0.8736,1.0,0.9633,1.0,1.0,0.8955
36.0,0.9291,0.8911,0.96,0.9145,0.9306,0.9138,1.0,0.9754,1.0,1.0,0.9291
37.0,0.9639,0.944,0.9798,0.9563,0.9647,0.9559,1.0,0.9876,1.0,1.0,0.9639
38.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
39.0,1.0375,1.0594,1.0206,1.0457,1.0366,1.0461,1.0,1.0125,1.0,1.0,1.0375
40.0,1.0764,1.1223,1.0416,1.0935,1.0746,1.0943,1.0,1.0252,1.0,1.0,1.0764
41.0,1.1167,1.1889,1.0631,1.1435,1.1139,1.1447,1.0,1.0381,1.0,1.0,1.1167
42.0,1.1586,1.2595,1.085,1.1958,1.1547,1.1975,1.0,1.0511,1.0,1.0,1.1586
43.0,1.202,1.3343,1.1073,1.2504,1.197,1.2527,1.0,1.0643,1.0,1.0,1.202
44.0,1.247,1.4135,1.1301,1.3076,1.2409,1.3104,1.0,1.0776,1.0,1.0,1.247
45.0,1.2938,1.4974,1.1534,1.3673,1.2863,1.3708,1.0,1.0911,1.0,1.0,1.2938
46.0,1.3423,1.5863,1.1772,1.4298,1.3334,1.434,1.0,1.1048,1.0,1.0,1.3423
47.0,1.3926,1.6805,1.2014,1.4952,1.3822,1.5001,1.0,1.1187,1.0,1.0,1.3926
48.0,1.4448,1.7803,1.2262,1.5635,1.4329,1.5692,1.0,1.1327,1.0,1.0,1.4448
49.0,1.4989,1.886,1.2514,1.635,1.4853,1.6415,1.0,1.1469,1.0,1.0,1.4989
50.0,1.5551,1.9979,1.2772,1.7097,1.5397,1.7172,1.0,1.1613,1.0,1.0,1.5551
51.0,1.6134,2.1166,1.3035,1.7879,1.5961,1.7964,1.0,1.1758,1.0,1.0,1.6134
52.0,1.6739,2.2422,1.3304,1.8696,1.6546,1.8791,1.0,1.1906,1.0,1.0,1.6739
53.0,1.7366,2.3753,1.3578,1.9551,1.7152,1.9657,1.0,1.2055,1.0,1.0,1.7366
54.0,1.8017,2.5164,1.3857,2.0444,1.778,2.0563,1.0,1.2206,1.0,1.0,1.8017
55.0,1.8692,2.6658,1.4143,2.1379,1.8431,2.1511,1.0,1.2359,1.0,1.0,1.8692
56.0,1.9393,2.824,1.4434,2.2356,1.9106,2.2503,1.0,1.2514,1.0,1.0,1.9393
57.0,2.012,2.9917,1.4731,2.3378,1.9806,2.354,1.0,1.2671,1.0,1.0,2.012
58.0,2.0874,3.1693,1.5035,2.4446,2.0531,2.4625,1.0,1.283,1.0,1.0,2.0874
59.0,2.1657,3.3575,1.5344,2.5564,2.1283,2.576,1.0,1.2991,1.0,1.0,2.1657
60.0,2.2468,3.5568,1.5661,2.6732,2.2062,2.6947,1.0,1.3153,1.0,1.0,2.2468
61.0,2.331,3.768,1.5983,2.7954,2.287,2.8189,1.0,1.3318,1.0,1.0,2.331
62.0,2.4184,3.9917,1.6312,2.9232,2.3708,2.9488,1.0,1.3485,1.0,1.0,2.4184
63.0,2.5091,4.2287,1.6648,3.0568,2.4576,3.0847,1.0,1.3654,1.0,1.0,2.5091
64.0,2.6031,4.4798,1.6991,3.1965,2.5476,3.2269,1.0,1.3826,1.0,1.0,2.6031
65.0,2.7007,4.7458,1.7341,3.3426,2.6409,3.3756,1.0,1.3999,1.0,1.0,2.7007
66.0,2.8019,5.0275,1.7698,3.4954,2.7376,3.5312,1.0,1.4174,1.0,1.0,2.8019
67.0,2.9069,5.326,1.8063,3.6552,2.8379,3.6939,1.0,1.4352,1.0,1.0,2.9069
68.0,3.0159,5.6423,1.8435,3.8222,2.9418,3.8642,1.0,1.4532,1.0,1.0,3.0159
