NPC,Ins Score,FIN RES
NA,CK,FSO
NA,CL,FSP
NA,CM,FSQ
NA,CN,FSS
NA,CO,FST
NA,CP,FSV
NA,CQ,FSW
NA,CR,FSY
NA,CS,FTB
NA,CT,FSL
NA,CU,FSL
NA,CV,FSL
NB,CA,FSF
NB,CB,FSH
NB,CC,FSJ
NB,CD,FSL
NB,CE,FSM
NB,CF,FSN
NB,CG,FSO
NB,CH,FSQ
NB,CI,FSQ
NB,CJ,FSS
NB,CK,FST
NB,CL,FSU
NB,CM,FSV
NB,CN,FSX
NB,CO,FSY
NB,CP,FTA
NB,CQ,FTB
NB,CR,FTD
NB,CS,FTG
NB,CT,FSQ
NB,CU,FSQ
NB,CV,FSQ
NC,CA,FSK
NC,CB,FSM
NC,CC,FSO
NC,CD,FSQ
NC,CE,FSR
NC,CF,FSS
NC,CG,FST
NC,CH,FSV
NC,CI,FSV
NC,CJ,FSX
NC,CK,FSY
NC,CL,FSZ
NC,CM,FTA
NC,CN,FTC
NC,CO,FTD
NC,CP,FTF
NC,CQ,FTG
NC,CR,FTI
NC,CS,FTL
NC,CT,FSV
NC,CU,FSV
NC,CV,FSV
ND,CA,FSP
ND,CB,FSR
ND,CC,FST
ND,CD,FSV
ND,CE,FSW
ND,CF,FSX
ND,CG,FSY
ND,CH,FTA
ND,CI,FTA
ND,CJ,FTC
ND,CK,FTD
ND,CL,FTE
ND,CM,FTF
ND,CN,FTH
ND,CO,FTI
ND,CP,FTK
ND,CQ,FTL
ND,CR,FTN
ND,CS,FTQ
ND,CT,FTA
ND,CU,FTA
ND,CV,FTA
