Enterprise Tenure,Value
40 Years or more,CA
39 Years,CB
38 Years,CB
37 Years,CB
36 Years,CB
35 Years,CB
34 Years,CB
33 Years,CB
32 Years,CB
31 Years,CB
30 Years,CB
29 Years,CC
28 Years,CC
27 Years,CC
26 Years,CC
25 Years,CC
24 Years,CC
23 Years,CC
22 Years,CC
21 Years,CC
20 Years,CC
19 Years,CD
18 Years,CD
17 Years,CD
16 Years,CD
15 Years,CD
14 Years,CD
13 Years,CD
12 Years,CD
11 Years,CD
10 Years,CD
9 Years,CE
8 Years,CE
7 Years,CE
6 Years,CE
5 Years,CE
4 Years,CF
3 Years,CF
2 Years,CF
1 Year,CG
Less than 1 Year,CG
None,CG
